CodTransaccion,NroFormulario,CodCampus,Marca,Categoria,Tipo,ValUnid,Proveedor,NroSerial,EmpresaResponsable,Estado,Historial
327,966217823,MON071,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39221,Campuslands,0,[]
327,966217823,TEC071,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070464,Campuslands,0,[]
327,966217823,MOU071,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090723,Campuslands,0,[]
327,966217823,CPU072,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON072,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39230,Campuslands,0,[]
327,966217823,TEC072,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070504,Campuslands,0,[]
327,966217823,MOU072,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091725,Campuslands,0,[]
327,966217823,CPU073,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON073,Compumax,Equipo de computo,Monitor,,Compumax Computer ,102SN55089,Campuslands,0,[]
327,966217823,TEC073,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070338,Campuslands,0,[]
327,966217823,MOU073,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091737,Campuslands,0,[]
327,966217823,CPU074,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON074,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39202,Campuslands,0,[]
327,966217823,TEC074,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070759,Campuslands,0,[]
327,966217823,MOU074,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091702,Campuslands,0,[]
327,966217823,CPU075,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON075,Compumax,Equipo de computo,Monitor,,Compumax Computer ,102SN55088,Campuslands,0,[]
327,966217823,TEC075,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070817,Campuslands,0,[]
327,966217823,MOU075,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090737,Campuslands,0,[]
327,966217823,CPU076,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON076,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39226,Campuslands,0,[]
327,966217823,TEC076,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070280,Campuslands,0,[]
327,966217823,MOU076,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090706,Campuslands,0,[]
327,966217823,CPU077,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON077,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39235,Campuslands,0,[]
327,966217823,TEC077,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070668,Campuslands,0,[]
327,966217823,MOU077,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090707,Campuslands,0,[]
327,966217823,CPU078,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON078,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39188,Campuslands,0,[]
327,966217823,TEC078,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070138,Campuslands,0,[]
327,966217823,MOU078,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091729,Campuslands,0,[]
327,966217823,CPU079,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON079,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39209,Campuslands,0,[]
